step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5313,1295,1286,9,0,0.993050193050193,0.0069498069498069494,0.0,0.9915057915057915,0.008494208494208495,0.009787314135140222
2,5394,1257,1246,11,0,0.9912490055688147,0.008750994431185362,0.0,0.9903586579251832,0.009641342074816815,0.010752688172043012
3,5476,1249,1232,17,0,0.9863891112890312,0.013610888710968775,0.0,0.9892141756548536,0.01078582434514638,0.012783053323593864
4,5517,1209,1189,20,0,0.9834574028122415,0.016542597187758478,0.0,0.9861878453038674,0.013812154696132596,0.014319376472720682
5,5616,1253,1236,17,0,0.9864325618515563,0.013567438148443736,0.0,0.9863377609108159,0.01366223908918406,0.014423076923076924
6,5709,1277,1264,12,1,0.9898198903680501,0.009397024275646046,0.0007830853563038371,0.9867207672445591,0.013279232755440797,0.014012961989840603
7,5803,1298,1274,24,0,0.9815100154083205,0.01848998459167951,0.0,0.9856063332133861,0.01439366678661389,0.015336894709632948
8,5888,1306,1282,24,0,0.9816232771822359,0.018376722817764167,0.0,0.9851116625310173,0.01488833746898263,0.01596467391304348
9,5978,1321,1304,17,0,0.9871309613928841,0.012869038607115822,0.0,0.9850538755648245,0.014946124435175531,0.015557042489126798
10,6068,1337,1318,19,0,0.9857890800299177,0.014210919970082274,0.0,0.9856948228882834,0.01430517711171662,0.015820698747528016
11,6157,1355,1337,18,0,0.9867158671586715,0.013284132841328414,0.0,0.9843333333333333,0.015666666666666666,0.015429592333928861
12,6256,1382,1360,22,0,0.984081041968162,0.015918958031837915,0.0,0.9837820304897826,0.016217969510217322,0.015824808184143224
13,6331,1377,1365,12,0,0.9912854030501089,0.008714596949891068,0.0,0.9838709677419355,0.016129032258064516,0.014689622492497235
14,6397,1382,1357,24,1,0.9819102749638206,0.017366136034732273,0.000723589001447178,0.9833918875758544,0.01660811242414564,0.01594497420665937
15,6462,1389,1365,24,0,0.9827213822894169,0.017278617710583154,0.0,0.983575489576753,0.016424510423247,0.016248839368616527
16,6530,1404,1384,20,0,0.9857549857549858,0.014245014245014245,0.0,0.983219390926041,0.01678060907395898,0.016079632465543645
17,6588,1411,1388,23,0,0.9836995038979447,0.01630049610205528,0.0,0.9843269821757836,0.01567301782421635,0.016545233758348512
18,6637,1417,1393,24,0,0.9830628087508821,0.016937191249117856,0.0,0.9835566382460414,0.016443361753958587,0.01672442368540003
19,6684,1421,1406,15,0,0.9894440534834623,0.01055594651653765,0.0,0.9836759371221282,0.016324062877871828,0.015559545182525433
20,6727,1428,1417,11,0,0.992296918767507,0.007703081232492998,0.0,0.9841174707821396,0.015882529217860354,0.014419503493384866
21,6766,1433,1416,17,0,0.9881367759944173,0.011863224005582694,0.0,0.9836358226718238,0.01636417732817614,0.014484185634052616
22,6804,1439,1420,19,0,0.9867963863794301,0.01320361362056984,0.0,0.9825753101004134,0.017424689899586534,0.01455026455026455
23,6838,1442,1424,17,1,0.9875173370319001,0.011789181692094313,0.0006934812760055479,0.9832549941245593,0.016745005875440658,0.014331675928634104
24,6867,1445,1425,20,0,0.986159169550173,0.01384083044982699,0.0,0.9845029239766082,0.015497076023391813,0.0145623998835008
25,6889,1447,1426,21,0,0.9854872149274361,0.014512785072563926,0.0,0.984570596797671,0.015429403202328967,0.014806212803019306
26,6909,1451,1427,23,1,0.983459682977257,0.015851137146795313,0.0006891798759476223,0.985213105247898,0.014786894752102058,0.015052829642495297
27,6928,1453,1430,22,1,0.9841706813489333,0.015141087405368204,0.0006882312456985547,0.9861271676300578,0.013872832369942197,0.015155889145496535
28,6947,1455,1434,21,0,0.9855670103092784,0.01443298969072165,0.0,0.9855990783410138,0.014400921658986175,0.015114437886857636
29,6962,1457,1434,23,0,0.9842141386410432,0.015785861358956762,0.0,0.9856404365307294,0.014359563469270534,0.01522550991094513
30,6976,1458,1437,21,0,0.98559670781893,0.01440329218106996,0.0,0.9856692462023502,0.014330753797649757,0.015051605504587156
31,6990,1460,1442,18,0,0.9876712328767123,0.012328767123287671,0.0,0.9851258581235698,0.014874141876430207,0.014735336194563662
32,7000,1461,1430,31,0,0.9787816563997263,0.021218343600273786,0.0,0.9848701113331431,0.01512988866685698,0.016142857142857143
33,7010,1462,1442,19,1,0.9863201094391245,0.012995896032831737,0.0006839945280437756,0.9846110002849815,0.015388999715018524,0.015406562054208274
34,7021,1464,1445,18,1,0.9870218579234973,0.012295081967213115,0.0006830601092896175,0.9843572241183163,0.01564277588168373,0.015239994302805869
35,7030,1465,1445,20,0,0.9863481228668942,0.013651877133105802,0.0,0.9846721544138518,0.01532784558614817,0.015220483641536274
36,7042,1467,1438,29,0,0.9802317655078391,0.019768234492160874,0.0,0.9830028328611898,0.0169971671388102,0.01661459812553252
37,7054,1468,1442,26,0,0.9822888283378747,0.017711171662125342,0.0,0.9830316742081447,0.016968325791855202,0.01701162461015027
