step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1049,251,243,8,0,0.9681274900398407,0.03187250996015936,0.0,0.9581673306772909,0.04183266932270916,0.04671115347950429
2,1073,247,238,9,0,0.9635627530364372,0.03643724696356275,0.0,0.9525691699604744,0.04743083003952569,0.049394221808014914
3,1096,246,237,9,0,0.9634146341463414,0.036585365853658534,0.0,0.9470588235294117,0.052941176470588235,0.05291970802919708
4,1115,246,224,22,0,0.9105691056910569,0.08943089430894309,0.0,0.9359223300970874,0.06407766990291262,0.06547085201793722
5,1135,253,230,21,2,0.9090909090909091,0.08300395256916997,0.007905138339920948,0.9365671641791045,0.06343283582089553,0.06784140969162995
6,1158,258,243,15,0,0.9418604651162791,0.05813953488372093,0.0,0.9401088929219601,0.05989110707803993,0.06563039723661486
7,1177,261,248,13,0,0.9501915708812261,0.04980842911877394,0.0,0.9414893617021277,0.05851063829787234,0.06457094307561598
8,1193,264,239,24,1,0.9053030303030303,0.09090909090909091,0.003787878787878788,0.9337979094076655,0.06620209059233449,0.07292539815590947
9,1210,266,244,21,1,0.9172932330827067,0.07894736842105263,0.0037593984962406013,0.928082191780822,0.07191780821917808,0.07355371900826446
10,1229,270,244,26,0,0.9037037037037037,0.0962962962962963,0.0,0.9295302013422819,0.07046979865771812,0.07973962571196094
11,1246,273,254,18,1,0.9304029304029304,0.06593406593406594,0.003663003663003663,0.930921052631579,0.06907894736842106,0.07624398073836276
12,1264,277,263,14,0,0.9494584837545126,0.05054151624548736,0.0,0.9260450160771704,0.07395498392282958,0.07120253164556962
13,1276,277,259,18,0,0.9350180505415162,0.06498194945848375,0.0,0.9249201277955271,0.07507987220447285,0.07053291536050156
14,1288,278,259,17,2,0.9316546762589928,0.06115107913669065,0.007194244604316547,0.9208860759493671,0.07911392405063292,0.06909937888198758
15,1300,279,269,10,0,0.96415770609319,0.035842293906810034,0.0,0.9217527386541471,0.0782472613458529,0.06230769230769231
16,1309,282,269,11,2,0.9539007092198581,0.03900709219858156,0.0070921985815602835,0.9274691358024691,0.07253086419753087,0.059587471352177235
17,1322,284,268,16,0,0.9436619718309859,0.056338028169014086,0.0,0.9282442748091603,0.0717557251908397,0.060514372163388806
18,1329,284,271,13,0,0.954225352112676,0.045774647887323945,0.0,0.9303030303030303,0.0696969696969697,0.056433408577878104
19,1336,284,261,23,0,0.9190140845070423,0.08098591549295775,0.0,0.9380664652567976,0.061933534743202415,0.06287425149700598
20,1345,286,274,12,0,0.958041958041958,0.04195804195804196,0.0,0.9415292353823088,0.05847076461769116,0.05650557620817844
21,1353,287,268,19,0,0.9337979094076655,0.06620209059233449,0.0,0.9421364985163204,0.057863501483679525,0.0598669623059867
22,1360,288,278,9,1,0.9652777777777778,0.03125,0.003472222222222222,0.9469026548672567,0.05309734513274336,0.05367647058823529
23,1369,289,277,12,0,0.9584775086505191,0.04152249134948097,0.0,0.9414348462664714,0.05856515373352855,0.053323593864134405
24,1374,289,270,19,0,0.9342560553633218,0.0657439446366782,0.0,0.9430656934306569,0.05693430656934306,0.056768558951965066
25,1379,290,272,17,1,0.9379310344827586,0.05862068965517241,0.0034482758620689655,0.940406976744186,0.059593023255813955,0.05728788977519942
26,1385,290,280,10,0,0.9655172413793104,0.034482758620689655,0.0,0.9435600578871202,0.056439942112879886,0.05270758122743682
27,1391,291,278,13,0,0.9553264604810997,0.044673539518900345,0.0,0.9452449567723343,0.05475504322766571,0.053199137311286844
28,1396,292,276,16,0,0.9452054794520548,0.0547945205479452,0.0,0.9412607449856734,0.05873925501432665,0.054441260744985676
29,1395,292,272,19,1,0.9315068493150684,0.06506849315068493,0.003424657534246575,0.9414285714285714,0.05857142857142857,0.055197132616487454
30,1401,292,275,17,0,0.9417808219178082,0.05821917808219178,0.0,0.9470672389127325,0.05293276108726753,0.055674518201284794
31,1404,293,275,18,0,0.9385665529010239,0.06143344709897611,0.0,0.9474431818181818,0.052556818181818184,0.057692307692307696
32,1404,293,283,10,0,0.9658703071672355,0.034129692832764506,0.0,0.9460992907801419,0.05390070921985816,0.051994301994301995
33,1406,294,275,19,0,0.935374149659864,0.06462585034013606,0.0,0.9447592067988668,0.05524079320113314,0.0561877667140825
34,1407,293,275,17,1,0.9385665529010239,0.05802047781569966,0.0034129692832764505,0.943342776203966,0.056657223796033995,0.05685856432125089
35,1410,294,279,15,0,0.9489795918367347,0.05102040816326531,0.0,0.942008486562942,0.05799151343705799,0.05531914893617021
36,1410,294,282,12,0,0.9591836734693877,0.04081632653061224,0.0,0.9463276836158192,0.05367231638418079,0.05319148936170213
37,1408,294,273,20,1,0.9285714285714286,0.06802721088435375,0.003401360544217687,0.9435825105782792,0.056417489421720736,0.056818181818181816
38,1408,293,278,15,0,0.9488054607508533,0.051194539249146756,0.0,0.943342776203966,0.056657223796033995,0.0546875
39,1411,293,280,12,1,0.9556313993174061,0.040955631399317405,0.0034129692832764505,0.9446808510638298,0.05531914893617021,0.05315379163713678
40,1411,294,276,17,1,0.9387755102040817,0.05782312925170068,0.003401360544217687,0.9449929478138223,0.05500705218617771,0.05527994330262225
41,1411,294,275,19,0,0.935374149659864,0.06462585034013606,0.0,0.9422535211267605,0.057746478873239436,0.05669737774627923
42,1411,294,274,19,1,0.9319727891156463,0.06462585034013606,0.003401360544217687,0.9449929478138223,0.05500705218617771,0.058114812189936214
43,1414,294,278,15,1,0.9455782312925171,0.05102040816326531,0.003401360544217687,0.9464788732394366,0.05352112676056338,0.057284299858557285
44,1414,295,279,15,1,0.9457627118644067,0.05084745762711865,0.003389830508474576,0.9438202247191011,0.056179775280898875,0.056577086280056574
45,1414,295,279,16,0,0.9457627118644067,0.05423728813559322,0.0,0.9423347398030942,0.057665260196905765,0.05586987270155587
46,1413,294,278,16,0,0.9455782312925171,0.05442176870748299,0.0,0.9422535211267605,0.057746478873239436,0.055909412597310686
47,1415,294,276,18,0,0.9387755102040817,0.061224489795918366,0.0,0.9422535211267605,0.057746478873239436,0.05724381625441696
48,1415,294,273,20,1,0.9285714285714286,0.06802721088435375,0.003401360544217687,0.9423347398030942,0.057665260196905765,0.059363957597173146
49,1415,295,277,18,0,0.9389830508474576,0.061016949152542375,0.0,0.9424157303370787,0.05758426966292135,0.058657243816254416
50,1414,294,283,11,0,0.9625850340136054,0.03741496598639456,0.0,0.9437412095639943,0.05625879043600562,0.05374823196605375
51,1415,294,276,18,0,0.9387755102040817,0.061224489795918366,0.0,0.9436619718309859,0.056338028169014086,0.05653710247349823
52,1416,294,275,19,0,0.935374149659864,0.06462585034013606,0.0,0.9423347398030942,0.057665260196905765,0.05790960451977401
53,1416,295,281,14,0,0.9525423728813559,0.04745762711864407,0.0,0.9424157303370787,0.05758426966292135,0.05508474576271186
54,1417,295,278,17,0,0.9423728813559322,0.0576271186440678,0.0,0.9453015427769986,0.0546984572230014,0.056457304163726185
55,1417,295,285,10,0,0.9661016949152542,0.03389830508474576,0.0,0.9438990182328191,0.056100981767180924,0.051517290049400144
56,1414,294,275,18,1,0.935374149659864,0.061224489795918366,0.003401360544217687,0.9423347398030942,0.057665260196905765,0.05374823196605375
57,1416,294,284,10,0,0.9659863945578231,0.034013605442176874,0.0,0.9464033850493653,0.0535966149506347,0.05014124293785311
58,1413,294,280,13,1,0.9523809523809523,0.04421768707482993,0.003401360544217687,0.9437412095639943,0.05625879043600562,0.04953998584571833
59,1415,295,286,8,1,0.9694915254237289,0.02711864406779661,0.003389830508474576,0.9479606188466948,0.052039381153305204,0.045936395759717315
60,1414,294,279,15,0,0.9489795918367347,0.05102040816326531,0.0,0.9465541490857946,0.053445850914205346,0.04809052333804809
