age,20.0,22.5,25.0,27.5,30.0,32.5,35.0,37.5,40.0,42.5,45.0,47.5,50.0,52.5,55.0,57.5,60.0,62.5,65.0,67.5,70.0,72.5,75.0,77.5,80.0,82.5,85.0,87.5,90.0,92.5,95.0,97.5,100.0
0,0.27519499999999997,0.25689,0.24001999999999998,0.22429,0.20951,0.195515,0.182195,0.169445,0.157195,0.145395,0.133985,0.12293499999999999,0.11222,0.10182,0.0917,0.081875,0.072355,0.063155,0.054294999999999996,0.045845,0.037860000000000005,0.03059,0.024474999999999997,0.019435,0.015445,0.012135,0.009340000000000001,0.007025,0.0051400000000000005,0.00364,0.00248,0.0016150000000000001,0.00099
1,0.13828000000000001,0.12365999999999999,0.110675,0.099025,0.088505,0.078955,0.07025,0.062285,0.05499,0.048305,0.042175000000000004,0.036559999999999995,0.031424999999999995,0.02674,0.02249,0.01866,0.015225,0.01218,0.009510000000000001,0.007220000000000001,0.005294999999999999,0.0038050000000000002,0.00281,0.00212,0.00167,0.001315,0.001015,0.0007650000000000001,0.000565,0.00039999999999999996,0.000275,0.000175,0.00011
2,0.087075,0.07675499999999999,0.067775,0.059885,0.052895,0.04666,0.041069999999999995,0.03605,0.03152,0.027435,0.023735,0.0204,0.01739,0.014679999999999999,0.01225,0.01009,0.008175,0.006495,0.00504,0.0037949999999999998,0.002765,0.001975,0.00145,0.001085,0.00085,0.000665,0.00051,0.000385,0.00028000000000000003,0.000195,0.00013000000000000002,8.5e-05,4.9999999999999996e-05
3,0.060035,0.052559999999999996,0.04614,0.04055,0.035644999999999996,0.031310000000000004,0.027455,0.024015,0.020929999999999997,0.018165,0.01568,0.013444999999999999,0.01144,0.00964,0.008035,0.006605,0.005345,0.004245,0.003295,0.00248,0.0018050000000000002,0.00129,0.00094,0.000705,0.00055,0.000425,0.000325,0.00024000000000000003,0.00018,0.000125,8.5e-05,5.4999999999999995e-05,3.5000000000000004e-05
4,0.043645,0.03809,0.033345,0.02925,0.02567,0.022515,0.019725,0.01724,0.01502,0.01303,0.011245,0.00964,0.008205,0.006915,0.00577,0.00475,0.0038450000000000003,0.0030550000000000004,0.0023699999999999997,0.00179,0.0013050000000000002,0.00093,0.00068,0.00051,0.000395,0.00031,0.000235,0.000175,0.00013000000000000002,9e-05,6.000000000000001e-05,4e-05,2.5e-05
5,0.03189,0.02781,0.024335000000000002,0.021339999999999998,0.018725,0.016425000000000002,0.014395,0.012584999999999999,0.01097,0.009524999999999999,0.008230000000000001,0.007065,0.0060149999999999995,0.0050799999999999994,0.004235,0.00349,0.00283,0.00225,0.00175,0.00132,0.0009649999999999999,0.0006900000000000001,0.0005,0.000375,0.00029,0.00023,0.000175,0.00013000000000000002,9.5e-05,6.500000000000001e-05,4.5e-05,3.0000000000000004e-05,1.5000000000000002e-05
6,0.024585000000000003,0.02146,0.018805,0.016515000000000002,0.014515,0.01276,0.0112,0.009815,0.00857,0.007455,0.006455,0.005555,0.004745,0.00401,0.003355,0.00277,0.002255,0.0017950000000000002,0.0014000000000000002,0.00106,0.0007750000000000001,0.000555,0.000405,0.00030000000000000003,0.00023500000000000002,0.000185,0.00014000000000000001,0.000105,7.500000000000001e-05,5.4999999999999995e-05,4e-05,2.5e-05,1.5000000000000002e-05
7,0.019805,0.017305,0.015185,0.013354999999999999,0.011755,0.010350000000000002,0.009104999999999999,0.007994999999999999,0.006995,0.006095,0.005285,0.004555,0.0039,0.0033049999999999998,0.0027749999999999997,0.002295,0.00187,0.001495,0.00117,0.0008900000000000001,0.00065,0.000465,0.00034,0.000255,0.000195,0.000155,0.000115,8.999999999999999e-05,6.500000000000001e-05,4e-05,3.0000000000000004e-05,1.5000000000000002e-05,1e-05
8,0.016745,0.01464,0.012855,0.011315,0.00997,0.008785000000000001,0.0077399999999999995,0.0068000000000000005,0.00596,0.0052049999999999996,0.00452,0.0039049999999999996,0.003345,0.002845,0.002395,0.001985,0.001625,0.0013,0.00102,0.0007800000000000001,0.00057,0.000415,0.00030000000000000003,0.000225,0.000175,0.000135,0.0001,7.500000000000001e-05,5.4999999999999995e-05,4e-05,2.5e-05,1.5000000000000002e-05,1e-05
