step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5083,1297,319,662,316,0.2459521973785659,0.5104086353122591,0.243639167309175,0.0,1.0,0.9372417863466457
2,5124,1287,324,647,316,0.2517482517482518,0.5027195027195027,0.24553224553224554,0.0,1.0,0.900663544106167
3,5153,1282,312,647,323,0.24336973478939158,0.5046801872074883,0.25195007800312014,0.0,1.0,0.8699786532117213
4,5200,1281,314,660,307,0.24512099921935987,0.5152224824355972,0.23965651834504292,0.0,1.0,0.8403846153846154
5,5279,1297,350,663,284,0.26985350809560527,0.5111796453353894,0.2189668465690054,0.061224489795918366,0.9387755102040817,0.8077287365031256
6,5385,1305,448,614,243,0.3432950191570881,0.4704980842911877,0.18620689655172415,0.11777860603801714,0.8822213939619828,0.7647168059424326
7,5471,1304,439,629,236,0.3366564417177914,0.48236196319018404,0.18098159509202455,0.1657438169066076,0.8342561830933924,0.7342350575763115
8,5583,1308,465,638,205,0.3555045871559633,0.4877675840978593,0.15672782874617738,0.20737495436290618,0.7926250456370938,0.7041017374171592
9,5689,1317,528,588,201,0.4009111617312073,0.44646924829157175,0.15261958997722094,0.24865446716899892,0.751345532831001,0.6683072596238355
10,5848,1335,561,623,151,0.4202247191011236,0.4666666666666667,0.11310861423220973,0.2991243432574431,0.7008756567425569,0.6393638850889193
11,5977,1346,601,592,153,0.44650817236255574,0.4398216939078752,0.11367013372956909,0.33995207120849025,0.6600479287915098,0.6090011711560984
12,6118,1363,659,561,143,0.483492296404989,0.4115920763022744,0.10491562729273661,0.3766711229946524,0.6233288770053476,0.577639751552795
13,6270,1371,653,600,118,0.4762946754194019,0.437636761487965,0.08606856309263311,0.3989501312335958,0.6010498687664042,0.5570972886762361
14,6392,1391,689,560,142,0.4953271028037383,0.402588066139468,0.10208483105679367,0.41836734693877553,0.5816326530612245,0.5334793491864831
15,6545,1415,754,536,125,0.5328621908127208,0.37879858657243815,0.08833922261484099,0.4412403100775194,0.5587596899224806,0.5089381207028266
16,6715,1436,783,557,96,0.5452646239554317,0.387883008356546,0.06685236768802229,0.46817496229260935,0.5318250377073906,0.4903946388682055
17,6873,1451,787,575,89,0.5423845623707788,0.39627842866988283,0.061337008959338385,0.4864705882352941,0.5135294117647059,0.4765022552015132
18,7022,1460,800,580,80,0.547945205479452,0.3972602739726027,0.0547945205479452,0.5031718569780853,0.49682814302191464,0.463970378809456
19,7157,1475,836,554,85,0.5667796610169491,0.37559322033898307,0.0576271186440678,0.5245346869712352,0.4754653130287648,0.44962973312840576
20,7306,1495,863,558,74,0.577257525083612,0.3732441471571906,0.049498327759197325,0.5429279031370391,0.4570720968629609,0.4377224199288256
21,7454,1512,952,498,62,0.6296296296296297,0.32936507936507936,0.041005291005291,0.5542718968296615,0.4457281031703385,0.41843305607727393
22,7576,1524,910,542,72,0.5971128608923885,0.3556430446194226,0.047244094488188976,0.5649196734263893,0.43508032657361073,0.41077085533262936
23,7702,1536,920,549,67,0.5989583333333334,0.357421875,0.043619791666666664,0.5760869565217391,0.42391304347826086,0.4028823682160478
24,7822,1551,977,512,62,0.6299161831076725,0.3301096067053514,0.039974210186976146,0.5841584158415841,0.4158415841584158,0.3903093837893122
25,7924,1564,993,498,73,0.6349104859335039,0.31841432225063937,0.046675191815856776,0.6019441674975075,0.39805583250249255,0.3797324583543665
26,8029,1578,1029,483,66,0.6520912547528517,0.3060836501901141,0.04182509505703422,0.6100490196078432,0.38995098039215687,0.36841449744675553
27,8128,1588,1044,479,65,0.6574307304785895,0.30163727959697734,0.04093198992443325,0.6154218032390621,0.38457819676093785,0.35851377952755903
28,8220,1596,1049,488,59,0.6572681704260651,0.3057644110275689,0.03696741854636591,0.6252983293556086,0.3747016706443914,0.35097323600973235
29,8310,1601,1069,481,51,0.6677076826983136,0.3004372267332917,0.03185509056839475,0.6360415682569674,0.3639584317430326,0.34296028880866425
30,8400,1608,1118,450,40,0.695273631840796,0.2798507462686567,0.024875621890547265,0.6482130343377716,0.35178696566222845,0.3320238095238095
