step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,7568,1815,1799,16,0,0.9911845730027549,0.008815426997245178,0.0,0.9911845730027549,0.008815426997245178,0.00991014799154334
2,7834,1748,1729,19,0,0.9891304347826086,0.010869565217391304,0.0,0.9903766840802859,0.00962331591971405,0.010339545570589737
3,8072,1719,1703,16,0,0.9906922629435718,0.009307737056428156,0.0,0.9903898956617243,0.009610104338275673,0.010034687809712587
4,8288,1698,1685,13,0,0.9923439340400471,0.0076560659599528855,0.0,0.9893355209187858,0.01066447908121411,0.009531853281853282
5,8606,1807,1790,17,0,0.9905921416712784,0.009407858328721638,0.0,0.9898631525595539,0.01013684744044602,0.00964443411573321
6,8923,1875,1860,15,0,0.992,0.008,0.0,0.9897153790959101,0.010284620904089931,0.009301804325899362
7,9235,1923,1903,20,0,0.9895995839833593,0.010400416016640665,0.0,0.9899428571428571,0.010057142857142857,0.00952896589063346
8,9534,1957,1939,18,0,0.9908022483392949,0.009197751660705161,0.0,0.9905265476977307,0.009473452302269222,0.00933501153765471
9,9840,2006,1985,21,0,0.9895314057826521,0.010468594217347957,0.0,0.990715340789196,0.009284659210803967,0.009451219512195122
10,10149,2058,2042,16,0,0.9922254616132167,0.007774538386783284,0.0,0.9911129064835387,0.00888709351646132,0.008670805005419254
11,10457,2107,2089,18,0,0.9914570479354533,0.00854295206454675,0.0,0.9914745204417749,0.008525479558225151,0.008606674954575882
12,10755,2149,2131,18,0,0.9916240111679852,0.00837598883201489,0.0,0.9916044776119403,0.008395522388059701,0.008275220827522082
13,11003,2151,2134,17,0,0.9920966992096699,0.00790330079033008,0.0,0.9915673693858845,0.008432630614115491,0.007997818776697264
14,11237,2170,2150,20,0,0.9907834101382489,0.009216589861751152,0.0,0.9919369288657947,0.00806307113420534,0.008187238586811427
15,11457,2199,2182,17,0,0.992269213278763,0.007730786721236926,0.0,0.9919692737430168,0.00803072625698324,0.007942742428209828
16,11662,2230,2214,16,0,0.9928251121076234,0.007174887892376682,0.0,0.9921755400578329,0.007824459942167036,0.007717372663351055
17,11844,2249,2234,15,0,0.9933303690529124,0.006669630947087594,0.0,0.9923282188125417,0.007671781187458306,0.007261060452549814
18,12010,2263,2251,12,0,0.9946973044631021,0.005302695536897923,0.0,0.9924503528639422,0.007549647136057771,0.00691090757701915
19,12164,2279,2268,11,0,0.9951733216322949,0.004826678367705134,0.0,0.9924058814024883,0.007594118597511714,0.006412364353830977
20,12306,2294,2272,22,0,0.990409764603313,0.00959023539668701,0.0,0.9928343949044586,0.007165605095541401,0.006907199739964245
21,12435,2307,2290,16,1,0.9926311226701344,0.006935413957520589,0.00043346337234503684,0.9930861093651792,0.0069138906348208675,0.006674708484117411
22,12552,2317,2308,9,0,0.9961156668105309,0.003884333189469141,0.0,0.993627603357165,0.00637239664283494,0.006054811982154238
23,12654,2326,2310,16,0,0.9931212381771282,0.006878761822871883,0.0,0.993997229490534,0.006002770509465907,0.006164058795637743
24,12743,2333,2315,18,0,0.992284612087441,0.007715387912558937,0.0,0.993587786259542,0.006412213740458015,0.006277956525151064
25,12823,2340,2328,12,0,0.9948717948717949,0.005128205128205128,0.0,0.9937878787878788,0.006212121212121212,0.005926850191062934
26,12899,2349,2333,16,0,0.9931885908897403,0.006811409110259685,0.0,0.9941362201172756,0.005863779882724403,0.0062020311652066056
27,12964,2355,2336,19,0,0.991932059447983,0.008067940552016985,0.0,0.9938769414575866,0.006123058542413381,0.0064794816414686825
28,13020,2360,2341,19,0,0.9919491525423729,0.008050847457627118,0.0,0.993612596553773,0.006387403446226975,0.006528417818740399
29,13073,2364,2355,9,0,0.9961928934010152,0.0038071065989847717,0.0,0.994083715426712,0.005916284573287975,0.006042989367398455
30,13117,2369,2357,12,0,0.9949345715491769,0.005065428450823132,0.0,0.9938162544169611,0.006183745583038869,0.005870244720591599
31,13158,2371,2359,12,0,0.9949388443694643,0.005061155630535639,0.0,0.9936903888481291,0.006309611151870873,0.005775953792369661
32,13194,2375,2356,19,0,0.992,0.008,0.0,0.9935653699912255,0.006434630008774495,0.006063362134303471
33,13228,2378,2363,15,0,0.9936921783010934,0.006307821698906644,0.0,0.994022452252515,0.005977547747485056,0.005972180223767765
34,13259,2380,2364,16,0,0.9932773109243698,0.0067226890756302525,0.0,0.9941835102515632,0.005816489748436819,0.006184478467456068
35,13282,2382,2374,8,0,0.9966414777497901,0.0033585222502099076,0.0,0.9941978532056861,0.005802146794313896,0.005571450082818853
36,13304,2384,2368,16,0,0.9932885906040269,0.006711409395973154,0.0,0.9939200926462073,0.006079907353792704,0.005862898376428142
