step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5786,1362,1350,12,0,0.9911894273127754,0.00881057268722467,0.0,0.9919236417033774,0.008076358296622614,0.010197027307293468
2,6217,1263,1254,9,0,0.9928741092636579,0.007125890736342043,0.0,0.9915565345080763,0.008443465491923641,0.010294354190123855
3,6616,1215,1205,10,0,0.9917695473251029,0.00823045267489712,0.0,0.9908290535583272,0.009170946441672781,0.010580411124546553
4,6970,1161,1143,18,0,0.9844961240310077,0.015503875968992248,0.0,0.9873934000741564,0.01260659992584353,0.01205164992826399
5,7508,1338,1320,18,0,0.9865470852017937,0.013452914798206279,0.0,0.9875117077739619,0.012488292226038089,0.012653169952051145
6,8090,1452,1439,13,0,0.9910468319559229,0.008953168044077135,0.0,0.987885462555066,0.012114537444933921,0.012484548825710755
7,8696,1533,1520,13,0,0.9915198956294846,0.008480104370515329,0.0,0.9877927254608869,0.012207274539113104,0.012304507819687213
8,9311,1586,1566,20,0,0.987389659520807,0.012610340479192938,0.0,0.9864180478821363,0.01358195211786372,0.012887981956825261
9,9969,1668,1639,29,0,0.9826139088729017,0.01738609112709832,0.0,0.985546711353163,0.014453288646837033,0.01404353495837095
10,10662,1756,1726,30,0,0.9829157175398633,0.017084282460136675,0.0,0.9859262076835299,0.01407379231647014,0.014725192271618833
11,11375,1841,1814,27,0,0.9853340575774036,0.014665942422596416,0.0,0.9868238557558946,0.013176144244105409,0.014769230769230769
12,12104,1924,1901,23,0,0.988045738045738,0.011954261954261955,0.0,0.987146937480165,0.012853062519834974,0.014458030403172504
13,12731,1902,1886,16,0,0.9915878023133544,0.008412197686645636,0.0,0.9858635525507068,0.014136447449293177,0.013745974393213416
14,13324,1920,1894,26,0,0.9864583333333333,0.013541666666666667,0.0,0.9848685177023652,0.015131482297634788,0.013884719303512458
15,13879,1956,1918,38,0,0.9805725971370143,0.019427402862985686,0.0,0.9845166689914912,0.015483331008508858,0.014698465307298797
16,14411,2010,1991,19,0,0.9905472636815921,0.00945273631840796,0.0,0.985113950731129,0.014886049268871031,0.013947678856429117
17,14885,2035,2003,32,0,0.9842751842751842,0.015724815724815724,0.0,0.9859529233105543,0.01404707668944571,0.014444071212630165
18,15314,2051,2024,27,0,0.9868356899073623,0.013164310092637738,0.0,0.9856564913571166,0.014343508642883413,0.014561838840276871
19,15707,2066,2035,31,0,0.9849951597289448,0.015004840271055178,0.0,0.9840324118207817,0.015967588179218305,0.014961482141720252
20,16064,2082,2053,29,0,0.9860710854947167,0.013928914505283382,0.0,0.9845761335961962,0.01542386640380378,0.015064741035856574
21,16384,2094,2054,40,0,0.9808978032473734,0.019102196752626553,0.0,0.9845839945590569,0.015416005440943096,0.01580810546875
22,16662,2100,2068,32,0,0.9847619047619047,0.015238095238095238,0.0,0.985081273658428,0.014918726341572033,0.0157844196374985
23,16898,2102,2066,36,0,0.9828734538534729,0.017126546146527116,0.0,0.9849582784365393,0.015041721563460694,0.01609657947686117
24,17095,2102,2072,29,1,0.9857278782112274,0.01379638439581351,0.0004757373929590866,0.9846805736636245,0.015319426336375489,0.01596958174904943
25,17262,2107,2071,36,0,0.9829140958709065,0.0170859041290935,0.0,0.9834586466165414,0.016541353383458645,0.016394392306801064
26,17402,2112,2084,28,0,0.9867424242424242,0.013257575757575758,0.0,0.9833067517278044,0.016693248272195642,0.016147569244914377
27,17519,2116,2090,26,0,0.9877126654064272,0.012287334593572778,0.0,0.9834423117485762,0.01655768825142375,0.015982647411381928
28,17615,2116,2084,31,1,0.9848771266540642,0.014650283553875236,0.0004725897920604915,0.9828997062526228,0.017100293747377256,0.0161793925631564
29,17696,2116,2065,50,1,0.975897920604915,0.023629489603024575,0.0004725897920604915,0.9826577517760133,0.01734224822398663,0.01740506329113924
30,17762,2116,2083,33,0,0.9844045368620038,0.015595463137996219,0.0,0.9826150322714969,0.01738496772850302,0.017171489697106183
31,17815,2116,2078,38,0,0.9820415879017014,0.017958412098298678,0.0,0.9831793167895339,0.016820683210466203,0.017569463934886332
32,17853,2115,2084,30,1,0.9853427895981087,0.014184397163120567,0.00047281323877068556,0.9831088082901555,0.016891191709844558,0.01742004144961631
33,17883,2114,2071,43,0,0.9796594134342479,0.02034058656575213,0.0,0.9820985099337748,0.017901490066225167,0.018061846446345693
34,17904,2113,2077,36,0,0.9829626123994321,0.017037387600567912,0.0,0.9821133167907361,0.017886683209263853,0.01815236818588025
35,17920,2113,2081,31,1,0.9848556554661618,0.014671083767155703,0.000473260766682442,0.9818181818181818,0.01818181818181818,0.018080357142857145
36,17925,2113,2075,38,0,0.9820160908660672,0.017983909133932798,0.0,0.9819308208569953,0.018069179143004648,0.018186889818688982
37,17931,2113,2069,44,0,0.9791765262659725,0.02082347373402745,0.0,0.9815197191823251,0.018480280817674995,0.018738497574033796
38,17938,2112,2068,44,0,0.9791666666666666,0.020833333333333332,0.0,0.981005471250129,0.01899452874987096,0.01923291336826848
39,17940,2111,2066,45,0,0.9786830885836096,0.021316911416390336,0.0,0.9807970266363825,0.019202973363617593,0.019732441471571906
40,17940,2111,2067,44,0,0.9791567977261961,0.020843202273803884,0.0,0.9802828533085579,0.019717146691442138,0.02012263099219621
41,17941,2111,2068,43,0,0.9796305068687826,0.02036949313121743,0.0,0.98048125580915,0.019518744190849945,0.020455938910874532
42,17940,2110,2062,48,0,0.9772511848341232,0.022748815165876776,0.0,0.9798553719008265,0.020144628099173553,0.021014492753623187
43,17936,2110,2059,51,0,0.975829383886256,0.024170616113744076,0.0,0.9793367083376382,0.020663291662361815,0.02168822479928635
44,17935,2110,2063,47,0,0.9777251184834124,0.02227488151658768,0.0,0.97840462905559,0.02159537094441,0.022135489266796766
45,17932,2109,2071,38,0,0.9819819819819819,0.018018018018018018,0.0,0.9782968168664737,0.02170318313352625,0.02202766004907428
46,17932,2110,2056,54,0,0.9744075829383886,0.025592417061611375,0.0,0.9774700289375775,0.02252997106242249,0.02297568592460406
47,17929,2110,2057,52,1,0.9748815165876777,0.024644549763033177,0.00047393364928909954,0.9761289655885088,0.023871034411491163,0.023481510402141782
48,17931,2110,2058,51,1,0.9753554502369668,0.024170616113744076,0.00047393364928909954,0.975612276531983,0.024387723468016948,0.02403658468573978
49,17930,2110,2059,50,1,0.975829383886256,0.023696682464454975,0.00047393364928909954,0.9759173126614987,0.02408268733850129,0.024484104852203013
50,17931,2110,2057,52,1,0.9748815165876777,0.024644549763033177,0.00047393364928909954,0.9750930136420008,0.024906986357999174,0.02498466343204506
51,17933,2110,2061,49,0,0.9767772511848342,0.023222748815165877,0.0,0.9746796196775527,0.02532038032244729,0.025204929459655384
52,17931,2110,2051,58,1,0.9720379146919431,0.027488151658767772,0.00047393364928909954,0.9741655471737108,0.02583445282628914,0.025876972840332385
53,17929,2110,2042,67,1,0.9677725118483412,0.03175355450236967,0.00047393364928909954,0.9737494832575444,0.02625051674245556,0.02693959506944057
54,17930,2110,2052,58,0,0.9725118483412323,0.027488151658767772,0.0,0.9734394377842084,0.026560562215791648,0.027328499721137756
55,17928,2110,2056,54,0,0.9744075829383886,0.025592417061611375,0.0,0.9736434108527132,0.02635658914728682,0.027554663096831772
56,17926,2109,2048,60,1,0.9710763394973921,0.02844950213371266,0.000474158368895211,0.972914297529205,0.027085702470794996,0.02817137119268102
57,17929,2110,2050,60,0,0.9715639810426541,0.02843601895734597,0.0,0.9709560723514212,0.029043927648578813,0.028668637403089964
58,17930,2110,2048,62,0,0.9706161137440759,0.029383886255924172,0.0,0.9706490285241836,0.029350971475816452,0.029168990518683772
59,17929,2110,2055,55,0,0.9739336492890995,0.026066350710900472,0.0,0.9706459948320414,0.029354005167958656,0.029226392994589772
60,17930,2109,2053,56,0,0.9734471313418682,0.026552868658131817,0.0,0.9701230228471002,0.029876977152899824,0.02950362520914668
61,17930,2110,2049,61,0,0.9710900473933649,0.02890995260663507,0.0,0.9694088466308391,0.03059115336916081,0.029949804796430564
62,17927,2110,2043,66,1,0.9682464454976303,0.031279620853080566,0.00047393364928909954,0.9687855297157623,0.031214470284237725,0.030456852791878174
63,17928,2110,2048,62,0,0.9706161137440759,0.029383886255924172,0.0,0.9685788113695091,0.031421188630490954,0.030678268630075858
64,17926,2110,2033,75,2,0.9635071090047393,0.035545023696682464,0.0009478672985781991,0.9687919809858427,0.03120801901415728,0.0317973892669865
65,17927,2110,2037,70,3,0.9654028436018958,0.03317535545023697,0.0014218009478672985,0.9689954526663911,0.03100454733360893,0.032409215150331905
66,17929,2111,2050,61,0,0.9711037423022264,0.028896257697773566,0.0,0.9682785699524695,0.03172143004753048,0.03234982430698868
67,17929,2110,2036,74,0,0.9649289099526066,0.035071090047393366,0.0,0.9678586192641587,0.03214138073584126,0.033186457694238385
68,17932,2110,2038,72,0,0.9658767772511848,0.034123222748815164,0.0,0.9668251343530384,0.03317486564696155,0.03373856792326567
69,17933,2109,2038,71,0,0.96633475580844,0.03366524419155998,0.0,0.9662015503875969,0.0337984496124031,0.034182791501700775
70,17935,2110,2045,65,0,0.9691943127962085,0.030805687203791468,0.0,0.9662120272783633,0.0337879727216367,0.03434625034848062
71,17937,2111,2049,62,0,0.97063003315964,0.02936996684036002,0.0,0.9648796611920256,0.03512033880797438,0.03428667001170764
72,17939,2111,2027,84,0,0.9602084320227381,0.03979156797726196,0.0,0.9640570130138402,0.035942986986159886,0.03556497017670996
73,17940,2111,2038,72,1,0.965419232591189,0.03410705826622454,0.0004737091425864519,0.9634448574969021,0.036555142503097895,0.03584169453734671
74,17943,2111,2027,83,1,0.9602084320227381,0.039317858834675506,0.0004737091425864519,0.9634448574969021,0.036555142503097895,0.036838878671348156
75,17945,2111,2032,78,1,0.9625769777356703,0.03694931312174325,0.0004737091425864519,0.9635556473260376,0.03644435267396242,0.0373920312064642
76,17947,2111,2046,65,0,0.9692089057318807,0.030791094268119375,0.0,0.9627335604418292,0.037266439558170744,0.037164985791497185
77,17949,2111,2024,85,2,0.9587873045949786,0.04026527711984841,0.0009474182851729038,0.9626303293073191,0.03736967069268091,0.03821939940943785
78,17955,2112,2017,95,0,0.9550189393939394,0.04498106060606061,0.0,0.9610027855153204,0.03899721448467967,0.039543302701197436
79,17959,2111,2033,77,1,0.9630506868782568,0.0364756039791568,0.0004737091425864519,0.960693283813061,0.039306716186939025,0.039645860014477424
80,17962,2111,2017,93,1,0.9554713405968736,0.04405495026054003,0.0004737091425864519,0.961213121518465,0.03878687848153497,0.040808373232379465
81,17967,2111,2021,90,0,0.9573661771672193,0.04263382283278067,0.0,0.9600866336633663,0.039913366336633664,0.0416875382645962
82,17972,2112,2029,83,0,0.9607007575757576,0.039299242424242424,0.0,0.9580369110217548,0.04196308897824518,0.0420654351212998
83,17974,2112,2025,85,2,0.9588068181818182,0.04024621212121212,0.000946969696969697,0.9573283858998145,0.04267161410018553,0.04267274952709469
84,17973,2112,2023,88,1,0.9578598484848485,0.041666666666666664,0.0004734848484848485,0.9563066776586975,0.043693322341302555,0.043231513937573025
85,17974,2112,2019,93,0,0.9559659090909091,0.04403409090909091,0.0,0.9552761747732894,0.04472382522671064,0.04400801157227106
86,17978,2112,2001,110,1,0.9474431818181818,0.052083333333333336,0.0004734848484848485,0.955177743431221,0.04482225656877898,0.045722549783068195
87,17980,2112,2020,92,0,0.9564393939393939,0.043560606060606064,0.0,0.9548686244204019,0.04513137557959815,0.04605116796440489
88,17984,2111,2005,105,1,0.949786830885836,0.04973945997157745,0.0004737091425864519,0.953833470733718,0.046166529266281946,0.04743104982206406
89,17987,2112,2016,95,1,0.9545454545454546,0.04498106060606061,0.0004734848484848485,0.9532296281034305,0.04677037189656948,0.047867904597765056
90,17989,2112,2000,111,1,0.946969696969697,0.052556818181818184,0.0004734848484848485,0.9517973014728602,0.048202698527139765,0.04930791038968258
91,17988,2112,1982,129,1,0.9384469696969697,0.061079545454545456,0.0004734848484848485,0.9508855024711697,0.04911449752883031,0.05131198576828997
92,17992,2113,2007,106,0,0.9498343587316611,0.050165641268338855,0.0,0.9498610110161639,0.0501389889838361,0.05185638061360605
93,17991,2112,2003,107,2,0.9483901515151515,0.050662878787878785,0.000946969696969697,0.9494491918047977,0.05055080819520231,0.052637429826024124
94,17991,2112,1998,114,0,0.9460227272727273,0.05397727272727273,0.0,0.9474930505508082,0.052506949449191806,0.05369351342337836
95,17996,2113,1997,115,1,0.9451017510648367,0.054424988168480834,0.000473260766682442,0.9445130739139387,0.05548692608606135,0.05478995332296066
