step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5867,1342,1335,7,0,0.9947839046199702,0.005216095380029807,0.0,0.9914338919925512,0.00856610800744879,0.009374467359809102
2,6417,1236,1224,12,0,0.9902912621359223,0.009708737864077669,0.0,0.9910681056940827,0.00893189430591738,0.009973507869721053
3,6923,1177,1165,12,0,0.989804587935429,0.010195412064570943,0.0,0.9910681056940827,0.00893189430591738,0.01040011555683952
4,7378,1117,1104,13,0,0.9883616830796778,0.011638316920322292,0.0,0.9879834772812617,0.012016522718738265,0.010978584982380048
5,8056,1334,1323,11,0,0.9917541229385307,0.008245877061469266,0.0,0.9894003634161115,0.010599636583888553,0.01079940417080437
6,8816,1476,1461,15,0,0.9898373983739838,0.01016260162601626,0.0,0.9890994030625486,0.010900596937451337,0.011002722323049002
7,9626,1574,1550,24,0,0.9847522236340533,0.015247776365946633,0.0,0.988735632183908,0.011264367816091954,0.012050696031581135
8,10462,1637,1619,18,0,0.9890042761148442,0.010995723885155772,0.0,0.9881002087682672,0.011899791231732777,0.012234754349072835
9,11364,1740,1715,24,1,0.985632183908046,0.013793103448275862,0.0005747126436781609,0.9882899628252788,0.01171003717472119,0.012847588877155931
10,12332,1851,1833,18,0,0.9902755267423015,0.009724473257698542,0.0,0.9879498184219214,0.012050181578078573,0.012731106065520597
11,13348,1958,1930,28,0,0.9856996935648621,0.014300306435137897,0.0,0.9867393546485929,0.013260645351407101,0.013335331135750673
12,14398,2058,2025,33,0,0.9839650145772595,0.016034985422740525,0.0,0.9874188849159051,0.012581115084094822,0.014029726350882068
13,15338,2025,1986,39,0,0.9807407407407407,0.01925925925925926,0.0,0.9861234882240612,0.013876511775938892,0.014930238623027774
14,16233,2040,2011,29,0,0.9857843137254902,0.014215686274509804,0.0,0.9862634052295457,0.013736594770454271,0.015031109468366907
15,17084,2083,2057,26,0,0.9875180028804609,0.012481997119539127,0.0,0.9856432285778883,0.014356771422111688,0.015043315382814329
16,17894,2148,2106,42,0,0.9804469273743017,0.019553072625698324,0.0,0.9849251528568417,0.015074847143158338,0.015871241757013523
17,18624,2173,2133,40,0,0.9815922687528762,0.01840773124712379,0.0,0.9835209003215434,0.01647909967845659,0.01643041237113402
18,19276,2186,2150,36,0,0.9835315645013724,0.01646843549862763,0.0,0.9832526621490804,0.016747337850919652,0.016652832537870928
19,19867,2197,2155,42,0,0.9808830223031406,0.019116977696859355,0.0,0.9837847970756397,0.016215202924360295,0.017214476267176725
20,20410,2214,2175,38,1,0.9823848238482384,0.017163504968383016,0.00045167118337850043,0.9827413934053956,0.017258606594604414,0.017540421362077414
21,20894,2223,2181,42,0,0.9811066126855601,0.018893387314439947,0.0,0.9822076657519695,0.01779233424803045,0.017899875562362402
22,21316,2225,2179,46,0,0.9793258426966293,0.020674157303370785,0.0,0.9814284474529202,0.018571552547079755,0.018530681178457496
23,21663,2220,2183,37,0,0.9833333333333333,0.016666666666666666,0.0,0.9808284833960972,0.019171516603902775,0.018603148225084246
24,21944,2211,2168,43,0,0.9805517865219358,0.019448213478064226,0.0,0.9806664970745358,0.01933350292546426,0.019048487057965732
25,22177,2213,2171,42,0,0.9810212381382738,0.018978761861726163,0.0,0.9807095529648578,0.019290447035142162,0.019434549307841456
26,22362,2216,2176,40,0,0.9819494584837545,0.018050541516245487,0.0,0.9799120112891176,0.02008798871088238,0.019586799034075664
27,22507,2217,2170,47,0,0.9788001804239964,0.021199819576003608,0.0,0.9795615625515082,0.02043843744849184,0.02003821033456258
28,22620,2213,2152,61,0,0.9724356077722549,0.027564392227745142,0.0,0.9794644323969115,0.02053556760308855,0.020999115826702032
29,22700,2208,2174,32,2,0.9846014492753623,0.014492753623188406,0.0009057971014492754,0.9794228562059354,0.0205771437940646,0.020616740088105726
30,22762,2205,2163,41,1,0.9809523809523809,0.018594104308390022,0.00045351473922902497,0.9793696275071633,0.020630372492836675,0.0208241806519638
31,22801,2202,2157,45,0,0.9795640326975477,0.020435967302452316,0.0,0.9789843813885027,0.02101561861149726,0.021007850532871367
32,22827,2199,2141,58,0,0.9736243747157799,0.0263756252842201,0.0,0.9775924108603206,0.022407589139679423,0.021816270206334604
33,22835,2195,2152,42,1,0.9804100227790433,0.019134396355353075,0.00045558086560364467,0.9783035860487964,0.021696413951203537,0.021852419531421065
34,22828,2192,2145,47,0,0.978558394160584,0.02144160583941606,0.0,0.9784443898041144,0.02155561019588558,0.02207814964079201
35,22818,2190,2138,52,0,0.9762557077625571,0.023744292237442923,0.0,0.9780950036918533,0.021904996308146688,0.02252607590498729
36,22800,2190,2137,53,0,0.9757990867579909,0.024200913242009132,0.0,0.9770209273697169,0.022979072630283134,0.022894736842105263
37,22783,2189,2152,37,0,0.983097304705345,0.016902695294655094,0.0,0.977074774034511,0.022925225965488908,0.022560681209673878
38,22762,2187,2137,50,0,0.9771376314586191,0.022862368541380886,0.0,0.9767154846141188,0.02328451538588119,0.022932958439504436
39,22743,2186,2136,49,1,0.9771271729185728,0.02241537053979872,0.0004574565416285453,0.9763494025545941,0.02365059744540585,0.023215934573275292
40,22719,2184,2135,47,2,0.9775641025641025,0.02152014652014652,0.0009157509157509158,0.9766482383034903,0.023351761696509613,0.023284475549099872
41,22698,2184,2142,42,0,0.9807692307692307,0.019230769230769232,0.0,0.9763812040630936,0.023618795936906432,0.02317384791611596
42,22679,2184,2137,47,0,0.9784798534798534,0.02152014652014652,0.0,0.9757831225721134,0.024216877427886602,0.02328144979937387
43,22663,2184,2130,54,0,0.9752747252747253,0.024725274725274724,0.0,0.9754322111010009,0.02456778889899909,0.023606759917045403
