step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5414,1316,1304,12,0,0.9908814589665653,0.00911854103343465,0.0,0.9912580767768909,0.008741923223109084,0.010343553749538234
2,5548,1264,1252,12,0,0.990506329113924,0.00949367088607595,0.0,0.9905051272312951,0.0094948727687049,0.011175198269646719
3,5677,1249,1238,11,0,0.9911929543634908,0.008807045636509208,0.0,0.989753320683112,0.010246679316888045,0.011625858728201514
4,5767,1209,1196,13,0,0.989247311827957,0.010752688172043012,0.0,0.9868319132455461,0.013168086754453912,0.012484827466620427
5,5933,1274,1258,16,0,0.9874411302982732,0.012558869701726845,0.0,0.986511119212541,0.013488880787458987,0.013315354795213214
6,6097,1313,1292,21,0,0.984006092916984,0.015993907083015995,0.0,0.9860724233983287,0.013927576601671309,0.014269312776775463
7,6259,1344,1321,23,0,0.9828869047619048,0.01711309523809524,0.0,0.9862554475360376,0.013744552463962454,0.015018373542099377
8,6409,1360,1345,15,0,0.9889705882352942,0.011029411764705883,0.0,0.9866100587851078,0.013389941214892228,0.014198782961460446
9,6567,1386,1362,24,0,0.9826839826839827,0.017316017316017316,0.0,0.9867172675521821,0.013282732447817837,0.015227653418608192
10,6726,1414,1388,26,0,0.9816124469589816,0.018387553041018388,0.0,0.9859370223173342,0.014062977682665852,0.01575973832887303
11,6890,1442,1424,18,0,0.9875173370319001,0.012482662968099861,0.0,0.9852158486102898,0.01478415138971023,0.015239477503628448
12,7059,1478,1465,12,1,0.9912043301759134,0.008119079837618403,0.0006765899864682003,0.9857712009106432,0.014228799089356859,0.014307975633942484
13,7189,1473,1454,19,0,0.9871011541072641,0.012898845892735914,0.0,0.9845157657657657,0.015484234234234234,0.014466546112115732
14,7313,1482,1462,20,0,0.9865047233468286,0.01349527665317139,0.0,0.983393301965126,0.016606698034874065,0.014631478189525503
15,7427,1495,1468,27,0,0.9819397993311036,0.018060200668896322,0.0,0.9834284161912524,0.016571583808747622,0.015484044701763835
16,7540,1516,1492,24,0,0.9841688654353562,0.0158311345646438,0.0,0.9846031324661534,0.015396867533846562,0.015649867374005304
17,7639,1528,1503,25,0,0.9836387434554974,0.016361256544502618,0.0,0.9845993213260246,0.015400678673975463,0.01597067679015578
18,7726,1536,1507,29,0,0.9811197916666666,0.018880208333333332,0.0,0.9848055627092455,0.015194437290754571,0.016567434636293038
19,7807,1544,1517,27,0,0.9825129533678757,0.017487046632124352,0.0,0.9844783715012723,0.015521628498727735,0.016779812988343794
20,7886,1554,1531,23,0,0.9851994851994852,0.014800514800514801,0.0,0.9841708542713568,0.015829145728643215,0.01648490996703018
21,7957,1562,1541,21,0,0.9865556978233034,0.013444302176696543,0.0,0.9838549428713363,0.016145057128663685,0.016212140253864523
