step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5387,1278,1264,14,0,0.9890453834115805,0.010954616588419406,0.0,0.9917840375586855,0.008215962441314555,0.01039539632448487
2,5598,1246,1238,8,0,0.9935794542536116,0.006420545746388443,0.0,0.990726429675425,0.00927357032457496,0.010182207931404072
3,5790,1236,1226,10,0,0.9919093851132686,0.008090614886731391,0.0,0.9896946564885496,0.010305343511450382,0.01070811744386874
4,5969,1233,1219,14,0,0.9886455798864558,0.0113544201135442,0.0,0.9875986471251409,0.012401352874859075,0.011224660747193835
5,6201,1304,1288,16,0,0.9877300613496932,0.012269938650306749,0.0,0.9877622377622378,0.012237762237762238,0.01128850185453959
6,6432,1349,1337,12,0,0.9911045218680504,0.008895478131949592,0.0,0.9887528944756864,0.011247105524313596,0.010572139303482588
7,6657,1383,1366,17,0,0.987707881417209,0.012292118582791034,0.0,0.989566866898514,0.010433133101485931,0.010815682739972961
8,6876,1409,1395,14,0,0.9900638750887154,0.0099361249112846,0.0,0.9899512789281364,0.010048721071863581,0.010471204188481676
9,7096,1443,1436,7,0,0.9951489951489951,0.004851004851004851,0.0,0.98978698570178,0.010213014298220018,0.009301014656144307
10,7313,1477,1461,16,0,0.989167230873392,0.010832769126607989,0.0,0.9902070509233352,0.009792949076664802,0.009708737864077669
11,7527,1510,1495,15,0,0.9900662251655629,0.009933774834437087,0.0,0.99005108900242,0.009948910997579994,0.009565563969709047
12,7733,1538,1517,21,0,0.9863459037711313,0.013654096228868661,0.0,0.9903995848469123,0.009600415153087702,0.010086641665589034
13,7912,1542,1533,9,0,0.9941634241245136,0.005836575875486381,0.0,0.9915966386554622,0.008403361344537815,0.0089737108190091
14,8075,1556,1541,15,0,0.9903598971722365,0.009640102827763496,0.0,0.9912891986062717,0.008710801393728223,0.009164086687306502
15,8228,1575,1570,5,0,0.9968253968253968,0.0031746031746031746,0.0,0.9912600145666424,0.00873998543335761,0.008021390374331552
16,8370,1596,1580,16,0,0.9899749373433584,0.010025062656641603,0.0,0.990528060620412,0.00947193937958797,0.008602150537634409
17,8496,1610,1595,15,0,0.9906832298136646,0.009316770186335404,0.0,0.9911730545876888,0.008826945412311266,0.008592278719397363
18,8612,1621,1612,9,0,0.9944478716841456,0.005552128315854411,0.0,0.9910857142857142,0.008914285714285715,0.007779842080817464
19,8720,1631,1618,13,0,0.9920294297976702,0.00797057020232986,0.0,0.9923406172561388,0.00765938274386123,0.007912844036697248
20,8818,1641,1622,19,0,0.9884216940889702,0.01157830591102986,0.0,0.9920071047957372,0.007992895204262877,0.008618734406894988
